"LC.MS.run","focal_ID","Cort_pg.mg","Age","Season","Density","log_Cort_pg.mg"
"5_986","'0007B9617A",40.04,120,"Summer",315,3.68987895444702
"5_986","'0007BA9BED",48.15,106,"Summer",315,3.87432113824413
"5_986","'0007B0D33A",28.14,118,"Winter",286,3.33719205168624
"5_986","'0007B82412",29.33,106,"Summer",315,3.37861088298936
"5_986","'0007BA9509",31.09,97,"Summer",315,3.43688622407066
"5_986","'0007B84C5C",37.49,93,"Summer",315,3.62407423074782
"5_986","'0007BAE768",34.23,118,"Winter",286,3.53310245254209
"5_986","'0007B824FC",46.28,91,"Summer",315,3.83470990232548
"5_986","'0007BAAEA0",51.44,293,"Summer",315,3.94041607992936
"5_986","'0007BAC082",55.67,344,"Summer",315,4.01944140219542
"5_986","'0007B0D09B",64.38,329,"Winter",286,4.16480302587066
"5_986","'0007B95A4A",40.5,96,"Summer",315,3.70130197411249
"5_986","'0007BAD96F",44.27,123,"Summer",315,3.79030724674405
"5_986","'0007B8CDCB",41.43,106,"Summer",315,3.72400525608931
"5_986","'0007B9AD8A",37.18,120,"Summer",315,3.6157709822933
"5_986","'0007B0FF90",45.58,164,"Winter",286,3.81946902381754
"5_986","'0007B8D2E2",35.56,106,"Summer",315,3.5712214106457
"5_986","'0007B10040",57.45,496,"Winter",286,4.05091500429476
"5_986","'0007B82928",36.76,106,"Summer",315,3.60441029748749
"5_986","'0007BA961B",39.49,105,"Summer",315,3.67604747529856
"5_986","'0007B84AD4",30.76,105,"Summer",315,3.42621514463744
"5_986","'0007B0CF7F",51.16,323,"Winter",286,3.93495797671064
"5_986","'0007BA9632",39.06,91,"Summer",315,3.66509892544853
"5_986","'0007B9623F",62.02,91,"Summer",315,4.1274569136723
"5_986","'0007B11CCA",61.69,444,"Summer",315,4.12212184322155
"5_986","'0007AFE6D8",50.6,190,"Winter",286,3.92395157629342
"5_986","'0007B8300B",65.19,123,"Summer",315,4.17730608293645
"5_986","'0007BAB223",46.33,123,"Summer",315,3.83578969942856
"5_986","'0007B8D170",42.68,111,"Summer",315,3.75373042643355
"5_986","'0007BA980B",70.11,123,"Summer",315,4.25006543721888
"5_986","'0007BA97C8",27.12,120,"Summer",315,3.3002714630722
"5_986","'0007BAC6DB",33.91,123,"Summer",315,3.52370995613755
"5_986","'00079C4C40",61.71,146,"Winter",286,4.12244599233298
"5_986","'0007BAB041",41.74,125,"Winter",286,3.73145990164905
"5_986","'0007BAAF5C",45.73,151,"Winter",286,3.82275453766996
"5_986","'0007B8D41D",47.43,194,"Winter",286,3.85925493988949
"5_986","'0007B11C19",56.62,150,"Winter",286,4.03636227968375
"5_986","'0007BAB4E5",40.99,186,"Winter",286,3.71332813451625
"5_986","'0007B10207",40.36,214,"Winter",286,3.69783919548541
"5_986","'0007B0491A",35.01,165,"Winter",286,3.55563373496657
"5_986","'0007B11D3D",42.61,165,"Winter",286,3.75208896751182
"5_986","'0007B0494E",49.21,163,"Winter",286,3.89609685487789
"5_986","'0007B8F1F4",31.82,125,"Winter",286,3.46009502290964
"5_986","'0007BAB5B2",57.08,150,"Winter",286,4.04445379260864
"5_986","'0007BAB19C",45.94,182,"Winter",286,3.82733619726095
"5_986","'0007B8CF13",35.52,194,"Winter",286,3.57009591812397
"5_986","'0007B11FF1",33.59,164,"Winter",286,3.5142284036242
"5_986","'0007B1225A",29.36,193,"Winter",286,3.37963320374631
"5_986","'0007B11FBF",47.23,152,"Winter",286,3.85502928390803
"5_986","'0007B82FF6",47.16,312,"Winter",286,3.85354607566917
"5_986","'0007B11AB4",41.72,152,"Winter",286,3.73098063013257
"5_986","'0007B8EE01",81.49,489,"Winter",286,4.40048031333213
"5_986","'0007B1221E",41.25,307,"Winter",286,3.71965111278069
"5_986","'0007B9B114",42.39,207,"Winter",286,3.74691248536455
"5_986","'0007B9B454",34.22,186,"Winter",286,3.53281026846405
"5_986","'0007B04AFA",31.77,147,"Winter",286,3.45852244828142
"5_986","'0007B11D80",30.59,328,"Winter",286,3.42067315816281
"5_986","'0007B8D0AF",34.82,167,"Winter",286,3.55019193434004
"5_986","'0007B122C4",33.92,386,"Spring",315,3.5240048109237
"5_986","'0007B0494B",30.27,193,"Winter",286,3.41015712303363
"5_986","'0007B1227C",43.92,383,"Spring",315,3.78236979720128
"5_986","'0007B1221E",46.51,369,"Spring",315,3.83966734323601
"5_986","'0007B0D32F",33.56,390,"Spring",315,3.513334881599
"5_986","'0007B11CCA",71.46,385,"Spring",315,4.26913785259526
"5_986","'0007B048F7",82.12,392,"Spring",315,4.40818159215073
"5_986","'0007BABEC4",37.73,191,"Spring",315,3.63045553397622
"5_986","'0007B11E5C",43.36,139,"Winter",286,3.76953735713139
"5_986","'0007B04DF5",44.16,404,"Spring",315,3.78781940196884
"5_986","'0007B0FDEB",47.55,389,"Spring",315,3.8617817889914
"5_986","'0007AFE561",39.95,198,"Winter",286,3.68762867221228
"5_986","'00079CDA08",54.56,393,"Spring",315,3.99930101353521
"5_986","'0007B11F77",55.66,385,"Spring",315,4.01926175609774
"5_986","'0007B048F5",85.65,384,"Spring",315,4.45026922477013
"5_986","'0007B1225E",47.85,402,"Spring",315,3.86807111789896
"5_986","'0007B122B0",52.42,405,"Spring",315,3.95928819789526
"5_986","'0007B0FBD7",59.83,390,"Spring",315,4.09150720740194
"5_986","'0007B11B69",52.92,378,"Spring",315,3.96878133924676
"5_986","'0007B0FD8C",61.04,552,"Spring",315,4.1115293869762
"6_1044","'0007AFE653",71.28,366,"Summer",447,4.26661578316255
"6_1044","'0007B83BF5",50.22,152,"Summer",447,3.91641335372944
"6_1044","'0007BAC137",73.91,203,"Summer",447,4.3028481367968
"6_1044","'0007BA967E",37.67,156,"Summer",447,3.62886402170395
"6_1044","'0007B8D170",56.7,186,"Summer",447,4.03777421073371
"6_1044","'0007B8D233",49.61,96,"Summer",447,3.90419242631296
"6_1044","'0007BA9DDB",38.68,116,"Summer",447,3.65532267058509
"6_1044","'0007BACD5A",47.18,152,"Summer",447,3.85397007397953
"6_1044","'0007B84E57",46.78,184,"Summer",447,3.84545576115603
"6_1044","'0007B823B7",34.02,116,"Summer",447,3.52694858696772
"6_1044","'0007B9B5D2",36.25,118,"Summer",447,3.59043938130068
"6_1044","'0007BA981E",41.31,885,"Summer",447,3.72110460140867
"6_1044","'0007BAB4C0",52.45,98,"Summer",447,3.95986033484231
"6_1044","'0007BAF08B",39.89,181,"Summer",447,3.68612566591732
"6_1044","'0007B9B593",39.89,99,"Summer",447,3.68612566591732
"6_1044","'0007B83DA9",31.19,118,"Summer",447,3.44009753061971
"6_1044","'0007B0D059",103.07,366,"Summer",447,4.6354083690487
"6_1044","'0007B84C5C",39.89,168,"Summer",447,3.68612566591732
"6_1044","'0007B95EB0",57.71,102,"Summer",447,4.05543046872288
"6_1044","'0007BAC046",41.72,352,"Summer",447,3.73098063013257
"6_1044","'0007B82928",58.52,181,"Summer",447,4.06936857615192
"6_1044","'0007BAC202",47.99,389,"Summer",447,3.87099265587015
"6_1044","'0007B11E8A",41.31,407,"Summer",447,3.72110460140867
