"AGD.tail","life.repro.success","Density.DOB"
-1.04973840700702,0,138
0.150261592992978,0,180
0.42932757115528,9,137
-0.36911572578189,17,150
-0.527247682106494,1,158
-1.15285181313268,9,188
-1.16755902271906,9,138
0.441351285136959,10,137
-0.407870363331626,4,138
-0.0675590227190594,2,180
-0.579582736700739,18,138
0.969638911767846,0,160
-0.528804385169324,6,158
-0.852851813132682,3,160
-0.258648714863041,0,158
0.0444646912626199,0,158
-0.937714693025343,7,138
-0.349738407007022,3,158
-0.209427066394456,16,160
-0.788493044556758,18,158
-0.248181703944192,15,147
0.418860560236431,0,137
-0.36755902271906,0,158
-0.798960055475607,0,158
-0.109427066394456,0,138
-0.497403352412777,0,180
-0.390049747619588,7,160
1.29948324146156,11,95
-0.118337374250475,0,180
0.438237879011299,1,158
-0.246625000881361,20,150
-0.112540472520116,0,180
-0.96911572578189,15,138
-0.609427066394456,15,137
-0.198960055475607,0,180
-0.109427066394456,3,158
-0.579582736700739,2,138
-0.56911572578189,12,176
0.620417263299261,1,145
-0.190049747619588,0,163
0.0890162305427142,0,176
-0.388493044556757,4,145
-0.652851813132682,0,87
-0.228804385169324,0,176
-1.20942706639446,11,155
0.0324409772809403,0,145
-0.26911572578189,0,163
-0.86911572578189,8,181
-0.0602054179258707,0,145
1.29948324146156,0,176
-0.749738407007022,0,176
-0.260205417925871,0,145
0.371195614830676,0,87
-0.410983769457286,15,176
-0.379582736700739,0,87
0.360728603911827,0,163
0.511506955443242,10,163
-0.0392713960881728,6,176
-0.918337374250474,0,163
-1.23036108823215,0,176
0.13088427421811,3,145
-0.249738407007022,0,163
-0.466002319656229,5,176
0.168082208705016,0,163
-0.298960055475606,0,176
-0.190049747619588,0,145
-0.536157989962512,0,87
-0.167559022719059,10,163
0.101039944524393,0,87
-0.198960055475607,2,163
-0.0691157257818898,15,176
-0.251295110069852,4,176
-0.600516758538437,10,163
-0.16911572578189,0,163
-0.830361088232154,4,181
-0.249738407007022,0,176
-0.27067242884472,1,181
-0.151295110069852,10,160
0.0115069554432425,10,176
-0.449738407007022,0,176
0.469638911767846,11,163
-0.498960055475607,9,163
-0.428804385169324,2,145
-0.149738407007022,5,163
