"LC.MS.run","External_ID2","focal_ID","Cort_pg.mg","Age","Season","Density"
"1_775",108,"'000783B8AF",40.3,258,"Winter",407
"1_775",112,"'000783B8AF",40.3,258,"Winter",407
"1_775",113,"'000783B8AF",40.3,258,"Winter",407
"1_775",116,"'000783B8AF",40.3,258,"Winter",407
"1_775",117,"'000783B8AF",40.3,258,"Winter",407
"1_775",119,"'000783B8AF",40.3,258,"Winter",407
"1_775",121,"'000783B8AF",40.3,258,"Winter",407
"1_775",123,"'000783B8AF",40.3,258,"Winter",407
"1_775",127,"'000783B8AF",40.3,258,"Winter",407
"1_775",128,"'000783B8AF",40.3,258,"Winter",407
"1_775",129,"'000783B8AF",40.3,258,"Winter",407
"1_775",132,"'000783B8AF",40.3,258,"Winter",407
"1_775",133,"'000783B8AF",40.3,258,"Winter",407
"1_775",136,"'000783B8AF",40.3,258,"Winter",407
"1_775",137,"'000783B8AF",40.3,258,"Winter",407
"1_775",138,"'000783B8AF",40.3,258,"Winter",407
"1_775",139,"'000783B8AF",40.3,258,"Winter",407
"1_775",143,"'000783B8AF",40.3,258,"Winter",407
"1_775",144,"'000783B8AF",40.3,258,"Winter",407
"1_775",146,"'000783B8AF",40.3,258,"Winter",407
"1_775",150,"'000783B8AF",40.3,258,"Winter",407
"1_775",151,"'000783B8AF",40.3,258,"Winter",407
"1_775",152,"'000783B8AF",40.3,258,"Winter",407
"1_775",153,"'000783B8AF",40.3,258,"Winter",407
"1_775",154,"'000783B8AF",40.3,258,"Winter",407
"1_775",155,"'000783B8AF",40.3,258,"Winter",407
"1_775",161,"'000783B8AF",40.3,258,"Winter",407
"1_775",164,"'000783B8AF",40.3,258,"Winter",407
"1_775",165,"'000783B8AF",40.3,258,"Winter",407
"1_775",166,"'000783B8AF",40.3,258,"Winter",407
"1_775",170,"'000783B8AF",40.3,258,"Winter",407
"1_775",174,"'000783B8AF",40.3,258,"Winter",407
"1_775",175,"'000783B8AF",40.3,258,"Winter",407
"1_775",177,"'000783B8AF",40.3,258,"Winter",407
"1_775",178,"'000783B8AF",40.3,258,"Winter",407
"1_775",179,"'000783B8AF",40.3,258,"Winter",407
"1_775",181,"'000783B8AF",40.3,258,"Winter",407
"1_775",185,"'000783B8AF",40.3,258,"Winter",407
"1_775",186,"'000783B8AF",40.3,258,"Winter",407
"1_775",187,"'000783B8AF",40.3,258,"Winter",407
"1_775",188,"'000783B8AF",40.3,258,"Winter",407
"1_775",190,"'000783B8AF",40.3,258,"Winter",407
"1_775",192,"'000783B8AF",40.3,258,"Winter",407
"1_775",193,"'000783B8AF",40.3,258,"Winter",407
"1_775",194,"'000783B8AF",40.3,258,"Winter",407
"1_775",195,"'000783B8AF",40.3,258,"Winter",407
"1_775",197,"'000783B8AF",40.3,258,"Winter",407
"1_775",201,"'000783B8AF",40.3,258,"Winter",407
"1_775",206,"'000783B8AF",40.3,258,"Winter",407
"1_775",207,"'000783B8AF",40.3,258,"Winter",407
"1_775",208,"'000783B8AF",40.3,258,"Winter",407
"1_775",209,"'000783B8AF",40.3,258,"Winter",407
"1_775",212,"'000783B8AF",40.3,258,"Winter",407
"1_775",213,"'000783B8AF",40.3,258,"Winter",407
"1_775",215,"'000783B8AF",40.3,258,"Winter",407
"1_775",1,"'000783BB43",55.58,270,"Winter",407
"1_775",5,"'000783BB43",55.58,270,"Winter",407
"1_775",6,"'000783BB43",55.58,270,"Winter",407
"1_775",7,"'000783BB43",55.58,270,"Winter",407
"1_775",9,"'000783BB43",55.58,270,"Winter",407
"1_775",11,"'000783BB43",55.58,270,"Winter",407
"1_775",18,"'000783BB43",55.58,270,"Winter",407
"1_775",19,"'000783BB43",55.58,270,"Winter",407
"1_775",20,"'000783BB43",55.58,270,"Winter",407
"1_775",21,"'000783BB43",55.58,270,"Winter",407
"1_775",22,"'000783BB43",55.58,270,"Winter",407
"1_775",24,"'000783BB43",55.58,270,"Winter",407
"1_775",26,"'000783BB43",55.58,270,"Winter",407
"1_775",28,"'000783BB43",55.58,270,"Winter",407
"1_775",30,"'000783BB43",55.58,270,"Winter",407
"1_775",31,"'000783BB43",55.58,270,"Winter",407
"1_775",32,"'000783BB43",55.58,270,"Winter",407
"1_775",35,"'000783BB43",55.58,270,"Winter",407
"1_775",37,"'000783BB43",55.58,270,"Winter",407
"1_775",39,"'000783BB43",55.58,270,"Winter",407
"1_775",40,"'000783BB43",55.58,270,"Winter",407
"1_775",42,"'000783BB43",55.58,270,"Winter",407
