"Season.DOB","Density.DOB","AGD.weight"
"summer",206,1.78156171353588
"summer",214,0.0615689208132936
"spring",214,0.0295612330507141
"spring",145,-0.534436124280899
"spring",145,0.645559070867489
"spring",145,0.0215593111100693
"spring",145,-0.414437325493802
"spring",145,-0.750439968162189
"spring",145,-0.438437085251221
"spring",145,0.445559070867489
"spring",145,-0.378440688889931
"spring",145,-0.238437085251221
"spring",145,0.0735597915952306
"spring",145,-0.0784346828254153
"spring",145,0.165563875719101
"spring",145,-0.98643660476606
"spring",214,-0.0464390071918663
"spring",145,-0.758435884038319
"autumn",233,-0.122433241369931
"spring",214,0.0695648366894238
"spring",145,0.465563875719101
"summer",206,1.08956363547652
"summer",214,-0.266431799914448
"summer",206,1.03755714892684
"spring",145,-0.0304351633105763
"spring",226,0.277560752565553
"spring",226,0.0975595513526499
"autumn",233,0.613563395233939
"summer",206,-0.142438046221544
"spring",226,-0.354440929132511
"spring",226,0.421559311110069
"spring",256,0.421565317174584
"autumn",311,-0.118438286464124
"spring",226,-0.170438766949286
"autumn",233,2.45756195377846
"spring",226,0.621559311110069
"spring",226,-0.034436124280899
"spring",256,0.217564356204262
"winter",256,0.157561953778456
"summer",206,0.941558109897166
"spring",226,-0.794438526706705
"summer",206,0.393558590382327
"summer",206,-0.774433721855093
"summer",206,0.325560272080392
"spring",226,-0.146439007191866
"autumn",233,0.269558830624908
"spring",226,-0.0984394876770276
"autumn",206,0.18155570747136
"spring",226,0.269564836689423
"autumn",206,0.249560031837811
"winter",256,0.245559070867488
"spring",226,0.10556747935781
"autumn",311,-0.446439007191867
"autumn",233,0.645565076932004
"spring",226,0.285556668441682
"winter",256,0.193558590382328
"spring",226,0.153554986743618
"autumn",206,-0.214437325493802
"autumn",206,-0.178440688889931
"autumn",233,0.361562914748778
"summer",206,0.0815617135358754
"spring",226,-0.170438766949286
"spring",226,0.00956243426361726
"winter",256,-1.24643900719187
"autumn",206,-0.00644140961767268
"autumn",233,0.205555467228779
"summer",206,0.409562434263617
"spring",256,0.561562914748779
"spring",256,0.769564836689424
"autumn",206,0.149560031837811
"autumn",206,0.233562194021037
"spring",226,0.11356339523394
"spring",214,0.221559311110069
"autumn",311,-0.330441169375092
"spring",226,0.205561473293295
"autumn",206,0.965557869654585
"spring",256,-0.28643660476606
"summer",307,-0.690443571800898
"spring",226,0.477560752565553
"autumn",206,0.237557148926844
"autumn",206,-0.138443091315737
"spring",256,2.32956123305071
"autumn",233,-0.722439247434447
"autumn",206,-0.282441649860253
"spring",226,0.241558109897166
"spring",226,0.549560031837811
"autumn",206,0.205561473293295
"winter",256,-0.194438526706705
"autumn",233,-0.466437805978963
"spring",256,0.0975655574171651
"summer",206,1.1655638757191
"summer",206,-0.282441649860253
"spring",226,1.44956003183781
"spring",224,0.0455590708674886
"winter",224,0.325566278144907
"spring",199,0.253560992808134
"spring",224,-0.570438766949286
"spring",307,-0.150439968162189
"spring",222,-0.0504399681621888
"autumn",311,-0.294438526706705
"winter",224,-0.310436364523479
"winter",222,-0.0784406888899308
"spring",243,-0.486442610830576
"winter",272,0.261556908684263
"winter",272,-0.150439968162189
"spring",199,-0.0664378059789635
"summer",311,-0.158435884038318
"summer",236,0.677560752565553
"summer",307,-0.40244044864735
"summer",240,-0.974439727919608
"winter",272,0.145559070867489
"summer",307,0.597565557417165
"spring",224,-0.142438046221544
"summer",240,0.39755955135265
"winter",224,0.0615629147487786
"summer",307,0.117558350139747
"winter",224,0.19755955135265
"spring",224,-0.402434442582835
"spring",199,-0.610442370587995
"spring",199,0.19755955135265
"spring",199,0.301560512322972
"spring",226,-0.134442130345415
"autumn",311,-0.44244405228606
"spring",224,-0.254440929132512
"spring",226,-1.06643780597896
"summer",240,0.261562914748779
"spring",226,0.449560031837811
"spring",224,-0.106435403553157
"summer",236,0.317558350139746
"spring",224,-0.174439727919608
"summer",311,-0.398439487677028
"winter",224,-0.41844429252864
"summer",236,-0.810436364523479
"summer",236,0.237557148926844
"summer",311,-0.762436845008641
"spring",226,0.47355979159523
"winter",224,-0.486442610830576
"summer",240,0.565563875719101
"spring",226,-0.0424440522860595
"summer",236,-0.158441890102834
"summer",240,0.133562194021037
"winter",224,-0.114443331558318
"spring",226,-0.0104423705879952
"winter",224,-0.290437565736383
"winter",224,0.0415641159616817
"spring",243,0.249560031837811
"summer",307,0.269558830624908
"spring",199,-0.310442370587995
"summer",236,-0.434436124280899
"autumn",311,-0.730441169375092
"spring",224,-0.838443091315737
"winter",224,-0.206441409617673
"spring",226,-0.546445013256382
"autumn",311,-0.770444773013801
"autumn",311,1.24155810989717
"spring",226,0.0895576294120049
"spring",199,-0.10244044864735
"spring",224,-0.0184382864641247
"summer",236,0.117564356204262
"spring",236,-0.246439007191866
"spring",224,0.133562194021037
"winter",224,-0.626440208404769
"autumn",311,-0.742438046221544
"winter",224,-0.758441890102834
"spring",199,-0.130441169375092
"spring",226,0.909556428199102
"spring",226,-0.426440208404769
"autumn",311,-0.586442610830576
"winter",224,-0.210442370587995
"summer",311,-0.614437325493802
"summer",236,0.0135573891694241
"winter",224,-0.410436364523479
"spring",199,0.165557869654585
"autumn",311,-0.554440929132511
"summer",240,0.141564115961682
"spring",224,-0.278440688889931
"spring",224,-0.10244044864735
"spring",236,-0.622439247434447
"spring",199,-0.61043636452348
"winter",222,-0.586442610830576
"autumn",311,-0.254434923067996
"summer",236,0.277560752565553
"winter",224,-0.818438286464125
"spring",226,-0.322439247434447
"spring",226,-0.086442610830576
"summer",236,-0.186442610830576
"spring",226,-0.330441169375092
"spring",226,-0.214437325493802
"summer",240,-0.0944445327712207
"autumn",311,-0.438437085251221
"spring",224,0.0215593111100693
"summer",311,-0.862436845008641
"spring",226,-0.846439007191866
"autumn",311,-0.590437565736383
"autumn",311,-0.634442130345415
"summer",236,-0.00644140961767268
"winter",224,0.0175643562042623
"autumn",311,-0.250439968162189
"spring",199,-0.0264402084047695
"autumn",240,0.0655578696545854
"summer",251,-0.278440688889931
"autumn",311,-0.794444532771221
"spring",224,0.193564596446843
"summer",307,-0.806435403553157
"summer",240,-0.198439487677028
"summer",236,0.0375571489268434
"summer",307,-0.314443331558318
"spring",236,-0.270438766949286
"spring",199,-0.510442370587995
"spring",226,-1.09043756573638
"summer",307,-0.514443331558318
"winter",272,-0.150439968162189
"spring",224,0.349560031837811
"spring",199,0.137563154991359
"winter",222,-0.406441409617673
"summer",251,-0.178440688889931
"summer",206,-0.290437565736383
"spring",222,-0.530441169375092
"spring",222,-0.370438766949286
"spring",243,-0.266443812043479
"spring",224,0.00156051232297252
"spring",224,0.345559070867488
"autumn",311,-0.818432280399609
"spring",222,-0.20244044864735
"spring",199,0.157561953778456
"autumn",233,-0.342432040157028
"winter",222,-0.498439487677028
"spring",226,-0.22644020840477
"spring",226,-0.130441169375092
"autumn",233,0.209556428199102
"spring",226,0.301560512322972
"autumn",233,0.21356339523394
"spring",226,0.625560272080391
"spring",256,-0.182435643795738
"spring",199,-0.10244044864735
"autumn",311,-1.0144373254938
"spring",226,-0.178440688889931
"winter",224,-0.00244044864735018
"summer",240,-0.514443331558318
"spring",224,0.0175583501397466
"summer",311,0.39755955135265
"winter",224,-0.0384430913157372
"summer",240,-0.294438526706705
"winter",224,-0.862442851073156
"summer",236,0.529561233050714
"summer",251,-0.150439968162189
"autumn",311,0.189557629412005
"winter",265,-0.658441890102834
"summer",240,-0.482441649860253
"summer",307,-0.758441890102834
"winter",256,0.189563635476521
"winter",224,-0.978434682825415
"spring",199,-0.250439968162189
"spring",199,0.141564115961682
"winter",272,0.0975595513526499
"spring",199,0.185556668441682
"spring",226,0.185562674506198
"summer",311,-0.714437325493802
"spring",222,-0.10244044864735
"spring",224,0.189557629412005
"spring",307,-0.646445013256382
"spring",226,-0.106441409617673
"spring",226,-0.278440688889931
"spring",226,-0.00244044864735018
"spring",256,0.249560031837811
"summer",207,0.745559070867488
"summer",207,0.577560752565553
"autumn",297,0.505561473293295
"summer",207,0.117558350139747
"spring",243,-0.414443331558318
"spring",243,-0.574439727919608
"spring",237,0.349560031837811
"summer",207,1.29755955135265
"spring",243,-0.034436124280899
